单词,词向量,近似top20 
resources,"[ 0.02371328  0.03535751  0.05744168 -0.11916915 -0.2097623  -0.36816913
 -0.21259156  0.01016222  0.22474177  0.10591514 -0.11036716 -0.08340485
  0.27154762 -0.12026004  0.16835716 -0.05484525  0.07690936 -0.07243297
 -0.09892126  0.07766058 -0.05250832 -0.07048845 -0.19535857 -0.13088106
 -0.33216932  0.21515065 -0.06699069 -0.06954749 -0.4922556   0.17217742
  0.18669732  0.17253996  0.13076374  0.35967657  0.26680997 -0.01281285
 -0.2676313   0.13690938 -0.07181219  0.19893481 -0.01057007 -0.20571221
  0.22929554 -0.16057707  0.08006466 -0.04672989 -0.1992069  -0.04433505
  0.09464169  0.00437812]","['cpc', 'zemin', 'south', 'resolutely', 'failed', '3', 'democracy', 'global', 'united', 'chinese', 'taiwan', 'could', 'operation', 'wei', 'agricultural', 'understanding', 'contacts', 'since', 'responsibility', 'socialist']"
therefore,"[-0.14720124  0.34638858  0.09681181 -0.25885728  0.16531137  0.04181668
 -0.10760028 -0.16858262  0.07863098  0.07114207 -0.05034071 -0.04725516
 -0.00565985  0.09308192  0.18766518 -0.01022793  0.09288441  0.09383915
  0.04831642  0.09125232 -0.09678669 -0.16635655 -0.15345836 -0.48621354
  0.4338646  -0.07338027  0.07072426  0.13382743 -0.19538172 -0.02408902
  0.12490689  0.02108823 -0.04230867  0.03332443 -0.3172621  -0.01228867
 -0.00543966 -0.03830652  0.21010083 -0.18023644 -0.03032698 -0.06225781
  0.02018843 -0.19392316 -0.0687317   0.2192504  -0.15573417  0.08612011
  0.06380612  0.12297601]","['failed', 'committees', 'political', 'principle', 'high', 'make', 'reason', 'general', 'called', 'motherland', 'zemin', 'national', 'financial', '12', 'department', 'economy', 'part', 'maintaining', 'properly', 'structural']"
results,"[-0.20922194  0.00944267  0.22316003  0.1602631  -0.05766518  0.02974528
 -0.25693825 -0.12183598 -0.02781912  0.09447901  0.16401145 -0.0369133
  0.24035026  0.3875417  -0.04037968 -0.08422372 -0.05169154 -0.01013592
  0.11522107 -0.08494615  0.0673479   0.09762261 -0.10652619  0.00246137
  0.18458621  0.08225353 -0.19309509 -0.06740915  0.06403332  0.32012197
 -0.15068139 -0.18539897  0.09189367 -0.14315249 -0.11894523 -0.35077778
 -0.12126647 -0.29794005 -0.05465541 -0.33957627 -0.21935783  0.07362971
 -0.20267655 -0.46421668 -0.09859952 -0.18489254 -0.3218532   0.30240312
  0.05764525 -0.16865434]","['statement', 'management', 'facts', 'failed', 'committees', 'motherland', 'make', 'nuclear', 'media', 'military', 'soon', 'complete', 'bush', 'territory', 'see', 'side', 'characteristics', 'incident', 'peace', 'need']"
study,"[-0.05646079 -0.00652507 -0.0121614  -0.01431653  0.18290268 -0.1161726
 -0.14946958 -0.47813094 -0.20679729 -0.08062236 -0.16084242 -0.1937227
 -0.3709829   0.00200224 -0.13046809  0.1813118   0.09411088 -0.00525741
  0.07190385 -0.10584557 -0.14270061 -0.140116   -0.3163875  -0.06812039
  0.09881657  0.09856372  0.14391729  0.06268387 -0.24776213 -0.08626541
 -0.11190565 -0.17361622 -0.11863994  0.14570644  0.06063715 -0.32053307
 -0.30894625  0.15812576  0.12730093 -0.07106559 -0.12243992  0.03767469
  0.24784859 -0.01535411 -0.14019018 -0.13686107  0.02136207  0.40969735
 -0.00758219 -0.19156538]","['failed', 'facts', 'force', 'modernization', 'media', 'part', 'soon', 'united', 'department', 'cpc', 'information', 'historic', 'factors', 'committees', 'another', 'resources', 'dialogue', 'resolution', 'discussion', 'called']"
cause,"[-0.05221856  0.01336797  0.22425842 -0.31315395  0.01674105  0.31685796
 -0.272948    0.21727858  0.03354631  0.03414312  0.33242375  0.26257536
  0.25735763 -0.3620157  -0.26212287  0.11560312 -0.22156192 -0.02214015
 -0.25936916  0.06466269  0.40083194 -0.16422758  0.32637456 -0.0272042
  0.3267269   0.10027187 -0.2193776  -0.28773198  0.06733944  0.26492995
  0.14753757 -0.27316484 -0.09230471  0.12884848 -0.11826785  0.01046811
  0.19149072 -0.01928298 -0.04913253 -0.04448799 -0.12992996 -0.0160071
  0.04891266 -0.07993261  0.11892974 -0.08576513  0.07935983 -0.06540372
 -0.15165462  0.12648234]","['ethnic', 'first', 'using', 'failed', 'entry', 'bush', 'education', '12', '50', 'four', 'operation', 'high', 'objective', 'global', 'propaganda', 'cadres', 'readjustment', 'addition', 'speech', 'committees']"
different,"[ 3.35155018e-02 -8.70218277e-02 -7.17136487e-02  1.96747646e-01
 -2.61148602e-01 -3.00108314e-01  1.76906779e-01 -2.44707167e-01
  3.71350378e-01 -2.02242956e-01  1.45437256e-01  1.95224509e-01
 -6.01825677e-02  1.54895142e-01 -1.16505526e-01 -8.93721431e-02
 -2.09498152e-01 -1.29049346e-01 -2.49704555e-01 -4.49490726e-01
 -9.47214648e-05  9.40969288e-02  1.78612694e-01  1.53932422e-01
  1.61632150e-01  2.67580867e-01  8.93990621e-02 -5.33518791e-02
 -1.03227422e-01  7.73344412e-02 -1.39199317e-01  4.10310961e-02
 -1.67289793e-01 -1.46211758e-01  2.94051141e-01 -3.66773546e-01
  3.66965234e-01  8.67502578e-03  5.46990968e-02 -1.93202525e-01
  4.19562310e-01  2.56247014e-01 -7.99491629e-02  3.47600952e-02
  7.73480460e-02  1.71497241e-01  8.11444893e-02 -1.77360252e-01
  2.20198750e-01  4.37759846e-01]","['failed', 'political', 'interests', 'component', 'fourth', 'mutual', 'back', 'india', 'speed', 'future', 'come', 'greatly', 'achieved', 'department', 'rate', 'understanding', 'talks', 'fact', 'caused', 'implement']"
report,"[-0.07476063 -0.3400059  -0.06479765  0.4579215  -0.06288917  0.39144984
 -0.2027088  -0.28321174  0.12778364 -0.25070032 -0.24191028  0.01924495
  0.07827859  0.23091619  0.04009415  0.28216353  0.11902617  0.04063768
  0.02238034 -0.01962678 -0.23632811 -0.0343518   0.15565926 -0.21431413
 -0.20536688  0.275282   -0.21293123  0.11124966  0.00416956 -0.11591326
  0.20045476  0.05636573 -0.19720933  0.09276278  0.05545928  0.10234255
 -0.49920404 -0.29147705 -0.264075    0.0592976  -0.19267663  0.16318367
  0.10575484 -0.08911324 -0.10482173 -0.26393515 -0.19534831  0.09783372
 -0.09360261 -0.03999183]","['guarantee', 'question', 'understanding', 'failed', 'historic', 'present', 'cpc', 'motherland', 'pointed', 'october', 'country', 'forms', 'aspects', 'next', 'beginning', 'regarding', 'staff', 'fully', 'indeed', 'prc']"
premier,"[ 0.23963977 -0.37706     0.06822091 -0.23741214 -0.17613752 -0.18637699
  0.33586988  0.19414425 -0.17126016  0.4533207  -0.19190592 -0.01007771
  0.0352658  -0.37945315  0.11664592  0.13073894  0.3269698  -0.53411216
  0.20423715  0.14377476 -0.00265902 -0.44238973  0.23927924 -0.26203087
  0.000936   -0.09012102 -0.13851218 -0.39032778  0.19844471 -0.05236411
  0.34881362  0.04834773 -0.4189893  -0.10127201 -0.02419448 -0.02771753
 -0.26519647 -0.38023087 -0.01286986 -0.137474    0.0896979   0.26481035
 -0.42819044 -0.22211897 -0.08096295 -0.10249145  0.1802554   0.38804108
 -0.10110459 -0.28029466]","['election', 'common', 'absolutely', 'hightech', 'outstanding', 'called', 'rongji', 'efforts', 'visited', 'zhang', 'implement', 'based', 'move', 'continue', 'regarding', 'objective', '12', 'management', 'implementing', 'economic']"
concerned,"[ 0.10326937  0.15295087 -0.1459736  -0.16489455  0.20062725 -0.16758993
  0.16518293 -0.07466621 -0.3727044  -0.11382408  0.31640545 -0.03553724
  0.06383966 -0.19117239  0.25587672  0.19288906  0.17977577  0.14437711
  0.00109012  0.24863715 -0.10842471  0.03361425  0.08306926 -0.21693756
  0.15305045  0.19792391  0.02814474  0.21242636 -0.1470533   0.336871
  0.04179186  0.13607486 -0.03314071  0.11933795 -0.19965523 -0.0637498
 -0.31325778  0.19860578 -0.09427233 -0.05111999 -0.35279605 -0.14414316
 -0.13314097 -0.06377213 -0.00118531 -0.06516481  0.01836459  0.00614011
 -0.19951649 -0.05990064]","['last', 'effectively', 'failed', 'general', 'fine', 'regions', 'modernization', 'issue', 'united', 'supervision', 'operation', 'political', 'resources', 'macao', 'shows', 'natural', '12', 'human', 'stressed', 'addition']"
without,"[ 1.25763774e-01 -1.30210832e-01 -5.39197102e-02 -3.80283333e-02
 -7.52053857e-02  8.81591812e-03  2.85846025e-01  2.62274235e-01
  8.01771358e-02  8.53750408e-02 -1.66833863e-01 -2.99518228e-01
 -2.64587067e-02 -9.68760811e-03  8.39078277e-02  3.37090343e-01
  2.88489256e-02  1.89183969e-02 -4.25806793e-05 -3.13383341e-02
  2.25398779e-01 -3.45713161e-02  2.86584813e-02  4.53852057e-01
  1.15007006e-01  1.80323660e-01 -1.04053311e-01 -3.40306848e-01
 -1.26699910e-01 -1.83868080e-01  1.67274415e-01 -1.27297238e-01
  6.96442276e-02  1.20464660e-01  7.36720785e-02 -2.36650914e-01
  4.69269991e-01 -2.44230539e-01  6.23663031e-02  2.09639460e-01
 -1.50620550e-01 -1.01402521e-01  2.49153033e-01 -1.04551883e-02
  2.95008600e-01 -1.33540317e-01 -3.75391990e-01 -6.61855340e-02
 -3.34656030e-01  2.64336109e-01]","['operation', 'failed', 'democracy', 'best', 'field', 'high', 'due', 'plane', 'contacts', 'largescale', 'status', 'workers', 'present', 'level', 'south', 'network', 'crossstrait', 'UNK', 'parties', 'peninsula']"
industry,"[ 0.02636849  0.33816347  0.16691484  0.02001142 -0.05502179 -0.03916304
  0.25464922  0.01437391  0.18522887  0.25468192  0.40069512  0.18735081
  0.14055365  0.01754242  0.0492296  -0.20129614  0.1344808  -0.03398004
 -0.01608408  0.24744877 -0.18101017  0.37573624 -0.11162865 -0.30402914
  0.16905238 -0.3581076  -0.28801554 -0.05768358 -0.2600981  -0.42477086
  0.273578   -0.00259318 -0.15413578  0.02966452  0.07446099 -0.39116478
 -0.28993586 -0.06812264  0.20619018  0.13597868  0.11581208  0.11964126
  0.15631863  0.36482555 -0.0659341   0.04789654 -0.10374517 -0.22534434
  0.12305402 -0.22249939]","['reason', 'investment', 'act', 'economic', 'committees', 'see', 'present', 'made', 'motherland', 'since', 'failed', 'shuibian', 'constitution', 'rate', 'progress', 'overseas', 'used', '3', 'political', 'financial']"
although,"[ 0.10585502  0.21939    -0.07599759  0.03764206  0.00389236 -0.05579504
 -0.17921807 -0.13321324  0.18488927  0.1349252   0.3559165  -0.32501137
 -0.0820483  -0.22760023 -0.09032727 -0.24031653  0.27182427  0.16433159
 -0.20864087 -0.17683816  0.1648002  -0.0344056   0.22029679  0.1662402
  0.13953732  0.13873962 -0.08870658  0.06559552  0.06662092 -0.08595207
  0.0247995   0.01930912  0.09365939  0.159941   -0.10621957  0.09722912
 -0.12968132  0.15297475 -0.01924415 -0.00687955  0.11490227  0.15958458
  0.34419012 -0.09507652 -0.21892366  0.16907643 -0.13730754 -0.07578789
 -0.03911208  0.13442874]","['failed', 'basis', 'correct', 'struggle', 'high', 'understanding', 'united', '3', 'constitution', 'department', 'situation', 'bush', 'development', 'addition', 'sides', 'outside', 'current', 'percent', '50', 'say']"
serious,"[-0.01515356  0.15030205 -0.04510849 -0.00628713  0.22880474  0.06267897
  0.09761777  0.08200845 -0.08305246 -0.01665128 -0.22591974  0.10296123
 -0.11265676  0.12643905 -0.03584424  0.06257916  0.11742119 -0.18357508
 -0.11118806  0.21280015 -0.11001159  0.02399082  0.1300478   0.0397439
  0.2565271   0.08289745  0.32109004 -0.19066648  0.04896211 -0.04598662
 -0.09979703  0.02027154  0.16028117 -0.09131569 -0.05359193  0.0053552
  0.08003771 -0.17876963 -0.12394878  0.26318157 -0.15985264  0.06748021
  0.15478899  0.13118999 -0.31140542  0.07082939  0.26160407  0.30878314
  0.23214589 -0.03956658]","['failed', 'united', 'political', 'situation', 'history', 'prc', 'department', 'election', 'rights', 'mainland', 'talks', 'constitution', 'committees', 'ethnic', 'bush', 'properly', 'income', 'land', 'clear', 'work']"
fiveyear,"[ 0.49966988 -0.22101665 -0.00624266 -0.08284326  0.01440653 -0.410021
 -0.36489907  0.1932283  -0.09180464 -0.36835042  0.0774465  -0.34869227
 -0.4673371   0.22907366  0.02920879  0.0731549  -0.01942693  0.05685838
 -0.20838448 -0.473462   -0.39814994 -0.20062478 -0.19258025 -0.32879215
 -0.02653664 -0.04418749 -0.22576821 -0.30048573 -0.3273568  -0.3453641
 -0.05677399  0.41266084  0.0085811  -0.16906516  0.17484139  0.4167844
 -0.20999143 -0.21805418 -0.45280373  0.061625   -0.02400985 -0.25751263
 -0.28380978 -0.05060979  0.06010836 -0.27663723 -0.26460657 -0.29313654
 -0.35491148 -0.22341709]","['workers', 'understanding', 'command', 'group', 'qichen', 'related', 'research', 'importance', 'failed', 'fine', 'ago', 'ninth', 'facts', 'level', 'unity', 'shows', 'UNK', 'trust', 'overall', 'century']"
five,"[-0.19712022  0.1511794   0.21388274 -0.19452329  0.09786116 -0.01079824
  0.28850204 -0.38016877  0.15906924 -0.14979716 -0.10360356  0.23343827
  0.08321271  0.05422341 -0.02735578  0.22951579  0.07692328  0.08379649
 -0.00285062 -0.05582287 -0.02102121  0.13079023 -0.24401523 -0.02742754
  0.01398491  0.11888099  0.2832036   0.3149962   0.37499726  0.3169857
  0.14008953  0.22950575  0.25174165  0.27928394  0.03626092 -0.04057598
 -0.1328263  -0.1498684   0.5813375   0.14334178  0.22189876 -0.16940078
 -0.3497399   0.5021911  -0.0633176   0.10350324 -0.28352022  0.14071834
  0.1035391   0.26134235]","['developed', 'failed', 'nearly', 'funds', 'rate', 'stance', 'reason', '20', 'quite', 'united', 'safeguarding', 'allround', 'basis', 'law', 'really', 'third', 'according', 'among', 'impact', '30']"
day,"[ 0.33495754 -0.01277102  0.02739535  0.24974763 -0.14434758 -0.11788857
  0.08011743 -0.46475857 -0.01414718  0.07504893  0.18140769 -0.2906951
 -0.45505172 -0.13738313 -0.10220658  0.01341077  0.22232637 -0.08177464
  0.09398931  0.13196747  0.04781039 -0.00368378  0.00850111 -0.13451008
  0.0185367   0.18849032 -0.2749191  -0.06982941  0.04003251  0.03393603
 -0.29553467  0.03243716 -0.27723432  0.10890415  0.02563155  0.09728162
  0.09296153  0.12940374 -0.00228036  0.07178062 -0.03085983 -0.02502815
 -0.3274628  -0.31711054 -0.01815813 -0.06640709  0.38969865  0.11763267
 -0.1842127   0.02078182]","['failed', 'complete', 'opinions', 'interests', 'united', 'part', 'internal', 'positive', 'land', 'aircraft', 'cadres', 'talks', 'play', 'political', 'educational', 'clear', 'last', 'soon', 'ago', 'common']"
carry,"[-0.13910004 -0.2622272   0.13191028 -0.03373231 -0.01867001 -0.1452623
 -0.21344683  0.54905903 -0.20770058 -0.00590747 -0.2018043   0.36856595
  0.17889231  0.01533681 -0.08392891  0.03691578 -0.07677349 -0.07238347
  0.13157618 -0.07139309 -0.04765143 -0.01721217 -0.3411482   0.03488755
 -0.2279286  -0.2142549  -0.2512112   0.00066283  0.0606379   0.5555269
 -0.07388583  0.08434926  0.09560042  0.15132545  0.17249858  0.09138944
 -0.04656485  0.09238008  0.11119889  0.08546994 -0.10114659 -0.14367066
  0.12561065 -0.25285813  0.01483376 -0.17011543 -0.06361531 -0.24887422
  0.13976248 -0.39867067]","['resolutely', 'failed', 'global', 'realize', 'cpc', 'comprehensive', 'number', 'addition', 'operation', 'legal', 'overall', 'onechina', '3', 'evil', 'bilateral', 'four', 'council', 'protect', 'beginning', 'could']"
hope,"[ 1.6711378e-01  2.0661813e-01  2.5205207e-01 -8.7864920e-02
 -7.3357850e-02 -9.6092850e-02  3.7864733e-01 -2.2333406e-01
  2.5535063e-04  1.3419408e-01  1.1021346e-02  2.9678115e-01
  1.4866285e-01 -4.1213405e-01  2.7546498e-01  1.1628734e-02
 -1.6707046e-01  2.0548092e-01 -3.2299775e-01 -2.9165022e-02
  1.1752433e-02 -1.9073458e-01  3.5166055e-01  2.4838362e-02
  2.5268060e-01 -4.0755559e-02  2.4535183e-02  1.3641573e-01
 -1.2197299e-03  3.7671618e-02 -1.3552219e-01  1.4747354e-01
  6.4689331e-02  2.6368928e-01  1.4766224e-01 -1.3819455e-01
 -1.9123140e-01  6.3293882e-02 -9.1302611e-02 -1.9875169e-01
 -3.0844994e-02  1.5145452e-01  2.4413911e-01 -2.7005580e-01
  3.3955470e-01  5.4191640e-03  8.9554988e-02  1.3107808e-02
 -1.5599600e-02  1.4446887e-01]","['addition', 'failed', '12', 'something', 'south', 'education', 'october', 'economic', 'political', 'correct', 'building', 'first', 'korean', 'regarding', 'implementation', 'joint', 'operation', 'economy', 'basis', 'responsibility']"
positive,"[-0.01491961  0.26116666  0.29236704 -0.00059113  0.12967305 -0.07064825
 -0.4136065  -0.07128753 -0.13582438 -0.02089158 -0.02246625  0.14291266
  0.02320537  0.11243054 -0.01902707  0.34094176  0.05477968  0.20333941
 -0.018012    0.27797756 -0.09032693  0.05639729 -0.05975716 -0.21895677
 -0.04695837 -0.16882919  0.36455587  0.10649373  0.4645979  -0.02415518
  0.16216475 -0.2350042   0.53401047 -0.21658464  0.3982508  -0.01446902
  0.13988128 -0.26998934  0.02325795 -0.06922156 -0.04697445  0.0276128
 -0.04682517  0.18620797  0.21014285 -0.14088002  0.03396721  0.03105327
  0.20763925  0.17151658]","['dialogue', 'committees', 'failed', 'came', 'saying', 'point', 'deep', 'history', 'remarks', 'although', 'developed', 'meeting', 'province', 'zemin', 'summit', 'democratic', 'principle', 'peaceful', 'chinese', 'political']"
theory,"[-0.12220328  0.01000964 -0.01264278 -0.00563396 -0.03708238 -0.1308586
 -0.00632203 -0.11734051  0.02660164  0.28840342  0.19081634  0.10818512
 -0.2069037  -0.15366751 -0.3133617  -0.13079448 -0.0774037   0.2872332
  0.06935668 -0.06858583  0.20378658 -0.21150456  0.03872558 -0.20332722
  0.11454242  0.10676288  0.09801716  0.050825    0.10931332 -0.09792264
 -0.17267348  0.0071371  -0.00069554  0.21467835 -0.23096009  0.3666981
  0.11863229  0.1842159   0.04132461 -0.0713103  -0.05857047  0.08790629
 -0.27497616 -0.27183273  0.3020496   0.06580596  0.13584566  0.10137323
 -0.18141875 -0.5167006 ]","['12', 'research', 'internal', 'failed', 'brought', 'better', 'developing', 'efforts', 'financial', 'five', 'overall', 'tasks', 'year', 'modernization', 'implementation', 'defense', 'resolutely', 'certainly', 'soon', 'units']"
fields,"[ 0.11831759 -0.09540784 -0.07571121  0.05757332  0.16353087 -0.17339188
  0.17228119 -0.17143363 -0.20284481  0.29365888  0.08236192  0.22315437
 -0.07456045 -0.04834999 -0.0942985   0.09277304 -0.26833597  0.03149209
  0.13285916 -0.13289575 -0.03940443 -0.15228073 -0.04525843  0.10875291
  0.1095828  -0.03651485 -0.11420584  0.09837238 -0.29546273  0.02086766
  0.19602545  0.40891266  0.02302006 -0.1105326   0.06232371  0.24143496
 -0.43751475 -0.07866519 -0.09685578  0.08288452  0.11578458  0.15396059
 -0.06010358  0.06361207 -0.20925412  0.34077662 -0.09987045  0.04054383
 -0.248028    0.19855684]","['failed', 'since', 'handling', 'basis', 'department', 'situation', 'sea', 'could', 'need', 'chen', 'percent', 'stressed', 'talks', 'ago', 'workers', 'across', 'first', 'zhang', 'operation', 'article']"
conference,"[-0.09305158 -0.12807158 -0.16424409 -0.15095079  0.13191259  0.13699245
 -0.06247176 -0.09396134 -0.04872455  0.30290446  0.08900343 -0.123353
  0.34583703  0.01209158  0.1469526  -0.10313923 -0.01101632 -0.15853928
 -0.02446559 -0.19378541 -0.18465343 -0.17618357 -0.05831823  0.20312332
  0.11489376  0.0523034  -0.12365611  0.52250165  0.3256147  -0.09544532
 -0.32525483  0.13101117 -0.07494814  0.06745565 -0.1386494  -0.03486168
 -0.35056838  0.06859197 -0.41761085 -0.03144502 -0.03608427 -0.08345532
  0.26380768 -0.10001461  0.09708934 -0.08671615  0.03790572  0.24632567
  0.00687698  0.2707616 ]","['next', 'pointed', 'information', 'failed', 'using', 'common', 'united', 'nearly', 'members', 'ethnic', 'talks', 'advance', 'deputies', 'effectively', 'beneficial', 'addition', 'building', 'sea', 'realize', 'management']"
water,"[ 0.03118742 -0.37395602 -0.1641547  -0.26259956  0.10519928 -0.06109273
 -0.19471323  0.1105103   0.12583998  0.29899752 -0.09415693 -0.25018835
  0.06469702 -0.07690888  0.15745756  0.19645733  0.06307485  0.25752628
  0.1120246   0.42150915 -0.08719371 -0.01646298 -0.40277338  0.02799295
 -0.09061487 -0.09251339  0.02448361 -0.08396898 -0.50939274  0.17171101
 -0.1813727  -0.14263234  0.13196944 -0.3548235  -0.13904688 -0.15343533
  0.10671116  0.2733417   0.04735571 -0.17085212  0.08530518  0.17863877
  0.11735835  0.24521327  0.18563297  0.08675899 -0.3440301  -0.14245968
 -0.336621    0.14388604]","['stresses', 'failed', 'points', 'operation', 'high', 'military', 'develop', 'contacts', 'air', 'sea', 'entry', 'resolutely', 'growth', 'zemin', 'systems', 'put', 'across', 'powell', 'greatly', 'cooperative']"
struggle,"[ 0.18231153  0.09693417  0.22803886  0.09916653  0.08878107 -0.0103639
  0.37210566  0.01752698  0.13627046 -0.2614223   0.0171628   0.1179025
 -0.04758917 -0.09063299 -0.03852116  0.02703889 -0.20515198  0.22171172
 -0.07798021  0.06649885  0.16590182 -0.02877284  0.34468555 -0.10596517
  0.08926002 -0.01072378  0.0139877  -0.22383636 -0.09345446 -0.35293257
  0.3752389  -0.20889574  0.02838172 -0.20582546 -0.07115066  0.08608895
  0.03069754  0.64640105 -0.3552045  -0.06229002 -0.03364909  0.3845008
 -0.23269294 -0.03017583 -0.17045431 -0.01498044  0.01477833  0.03399258
  0.07502365 -0.11070103]","['political', 'failed', 'education', 'economic', 'job', 'power', 'resolutely', 'implement', 'financial', 'well', 'province', 'department', 'program', 'young', 'internal', 'members', 'back', 'economy', 'impact', 'sound']"
see,"[-0.00337473  0.06764551  0.11737283 -0.08333443 -0.17923021  0.31023115
 -0.04607167  0.03450691  0.16002932  0.2242205   0.23331288 -0.09787428
 -0.284202   -0.19235587  0.11396085 -0.01511116 -0.06880294 -0.13061877
 -0.23394087 -0.01435469  0.04655873 -0.1590587  -0.16219702 -0.07927524
 -0.14142668  0.00412881 -0.06639186  0.00868038  0.25376144 -0.31604213
  0.26073712 -0.04530852  0.06010935  0.11279485 -0.07688686  0.08154075
 -0.0073778  -0.02654265 -0.02691692  0.06441773 -0.07552832  0.03169173
  0.24676253 -0.12966995 -0.15377055  0.04642968 -0.2989213   0.10165916
  0.30666584 -0.13623595]","['committees', 'failed', 'current', 'industry', 'chief', '3', 'overall', 'bush', 'zhang', 'objective', 'guarantee', 'zemin', 'progress', 'development', 'problems', 'present', 'among', 'understanding', 'basis', 'developing']"
achievements,"[ 4.37947921e-02  3.94686535e-02  1.39790460e-01 -8.42551381e-05
  1.22481980e-03 -2.13320777e-01 -6.94482252e-02  2.80586425e-02
 -2.18546733e-01 -5.01784906e-02  3.81217226e-02  2.36161664e-04
  2.01892093e-01  1.11652836e-01 -1.73458621e-01 -2.63347119e-01
 -1.24625348e-01 -5.19533679e-02 -3.03789955e-02 -1.41873464e-01
  9.93096754e-02  1.58622533e-01 -3.73483934e-02 -1.00196488e-02
  1.09620146e-01 -1.45278931e-01 -2.43007049e-01 -2.33094335e-01
 -3.67492698e-02 -1.91673905e-01  7.64649874e-03  3.49873364e-01
 -9.09226686e-02  5.89616373e-02 -2.55359918e-01 -3.06866109e-01
  2.98208129e-02  1.08581223e-01 -2.20076829e-01  1.03690378e-01
 -1.67667687e-01  2.11495042e-01  5.17006032e-03  1.04022913e-01
 -1.35766128e-02 -2.12630972e-01 -3.07883292e-01 -1.56093761e-01
  1.99264273e-01 -2.30033547e-01]","['failed', 'resolutely', '3', 'back', 'department', 'chinese', 'constitution', 'shuibian', 'used', 'investment', 'basis', 'education', 'understanding', 'member', 'economic', 'members', 'territory', 'position', 'hopes', 'committees']"
arms,"[-0.3268721  -0.05802601  0.33407766 -0.2072636  -0.55496794  0.06832115
  0.09737086  0.04495901  0.17257036  0.04114678 -0.23801608  0.254479
 -0.34892178 -0.15099548  0.15603471 -0.18301333 -0.13356632  0.4161967
  0.34739065  0.10825253 -0.52289516  0.26880527  0.27786627 -0.21063536
  0.03407913 -0.16563018  0.04332044 -0.11510815 -0.10044444  0.10062937
 -0.1229876  -0.0654439   0.0938752   0.17811672 -0.0361853   0.06856692
  0.2426486  -0.44072586  0.2561819   0.389664   -0.02533857  0.24484535
  0.39828333  0.26213923 -0.10652849  0.15307951 -0.16117893 -0.26564544
  0.07627346 -0.01447378]","['advanced', 'global', 'efforts', 'facilities', 'parties', 'reason', 'failed', 'among', 'operation', 'missile', 'addition', 'developing', 'leading', 'county', 'political', 'history', 'rich', 'existing', 'communist', 'certain']"
organizations,"[ 0.10053139 -0.22781153 -0.19366214 -0.04260842 -0.03541754 -0.17007202
 -0.24233536 -0.10669188  0.19764543  0.1783729  -0.14615218  0.35195217
  0.08139506 -0.02280691  0.10504413 -0.23618317  0.00411141  0.03830931
  0.07562511  0.01032179  0.07254618 -0.03789447  0.15254132  0.09735598
  0.20475487 -0.11828309  0.26328045  0.03701618 -0.3189326   0.07596864
 -0.11331275 -0.2436963  -0.31496242  0.0208179   0.3322103  -0.05727528
 -0.2288111  -0.11253553  0.38736743 -0.14936748 -0.0682786   0.0899298
 -0.40705037  0.26856813 -0.161595    0.07511602 -0.3457478  -0.03465706
  0.01196289 -0.09403847]","['failed', 'military', 'sea', 'friendship', 'reason', 'needs', 'speed', 'need', 'regarding', 'training', 'program', 'allround', 'department', 'maintaining', 'force', 'cpc', 'lies', 'remarks', 'institutions', 'beginning']"
nations,"[ 0.10650273 -0.02257128 -0.20125438 -0.13846329 -0.23552237 -0.01150306
 -0.03534082 -0.13104929 -0.08300411 -0.00691801  0.13866912  0.10638677
  0.10871396 -0.241742    0.39717796 -0.18011476 -0.2668054  -0.05799313
 -0.20059103  0.4704885  -0.17800492 -0.07953498  0.1750333  -0.10050056
  0.07054089 -0.11758847 -0.08292896  0.25286642  0.02722451  0.00753134
 -0.16533422 -0.27543718  0.18597439  0.00925492  0.21503712 -0.10952792
  0.09237722 -0.03205277  0.0466805   0.06417456  0.02344306  0.01683327
  0.0041833  -0.51007396  0.03402469  0.26302892  0.6121745  -0.16757017
 -0.14061952  0.01943241]","['something', 'failed', 'percent', 'among', 'political', 'carry', 'zemin', 'province', 'others', 'economic', 'rather', 'effectively', 'say', 'socialist', 'opinions', 'young', 'addition', 'global', 'next', 'zhang']"
cultural,"[-0.47945255  0.11555523  0.06066844 -0.09854499 -0.25789413 -0.16667493
 -0.21201381 -0.06307484 -0.39090195 -0.47219816  0.36551034 -0.06942304
 -0.01754361  0.23835057 -0.22655547  0.27000076 -0.17011568  0.15265976
 -0.1571289  -0.15671031  0.18994354 -0.14169614  0.08450717  0.04375894
  0.09133779  0.09647905  0.11835679  0.00233497 -0.27854165  0.20548096
 -0.0703122   0.32975188 -0.0110834  -0.32211462  0.004113   -0.2661096
  0.16080959  0.07990362  0.3630917   0.17035872 -0.2784013   0.04179573
 -0.10231855 -0.01586788  0.14643414 -0.06144878  0.10958207  0.07377464
  0.39737007  0.06011255]","['properly', 'enterprises', 'failed', 'united', 'nuclear', 'large', 'even', 'eight', 'back', 'operation', 'department', 'sectors', 'investment', 'understanding', 'see', 'political', 'negotiations', 'third', 'factors', 'set']"
